year,fips,geo_title,10xx_naics_npo_employ,10xx_naics_npo_estab,10xx_naics_npo_salary,10xx_naics_npo_wages,10xx_naics_npo_weekly,10xx_naics_percent_npo,10xx_naics_priv_employ,10xx_naics_priv_estab,10xx_naics_priv_salary,10xx_naics_priv_wages,10xx_naics_priv_weekly,10xx_naics_wage_ratio_npo,61xx_naics_npo_employ,61xx_naics_npo_estab,61xx_naics_npo_salary,61xx_naics_npo_wages,61xx_naics_npo_weekly,61xx_naics_percent_npo,61xx_naics_priv_employ,61xx_naics_priv_estab,61xx_naics_priv_salary,61xx_naics_priv_wages,61xx_naics_priv_weekly,61xx_naics_wage_ratio_npo,62xx_naics_npo_employ,62xx_naics_npo_estab,62xx_naics_npo_salary,62xx_naics_npo_wages,62xx_naics_npo_weekly,62xx_naics_percent_npo,62xx_naics_priv_employ,62xx_naics_priv_estab,62xx_naics_priv_salary,62xx_naics_priv_wages,62xx_naics_priv_weekly,62xx_naics_wage_ratio_npo,71xx_naics_npo_employ,71xx_naics_npo_estab,71xx_naics_npo_salary,71xx_naics_npo_wages,71xx_naics_npo_weekly,71xx_naics_percent_npo,71xx_naics_priv_employ,71xx_naics_priv_estab,71xx_naics_priv_salary,71xx_naics_priv_wages,71xx_naics_priv_weekly,71xx_naics_wage_ratio_npo,81xx_naics_npo_employ,81xx_naics_npo_estab,81xx_naics_npo_salary,81xx_naics_npo_wages,81xx_naics_npo_weekly,81xx_naics_percent_npo,81xx_naics_priv_employ,81xx_naics_priv_estab,81xx_naics_priv_salary,81xx_naics_priv_wages,81xx_naics_priv_weekly,81xx_naics_wage_ratio_npo
2017,f-48303,"Lubbock County, Texas",,,,,,,,,,,,,1061,17,32634,34625,628,0.713517148621385,1487,72,27756,41280,534,2.08897708360005,6619,89,58718,388652,1129,0.321904483999611,20562,877,48198,991058,927,1.35908712156282,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48321,"Matagorda County, Texas",308,16,34690,10685,667,0.0368376988398517,8361,770,58483,488982,1125,0.584075564460458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48323,"Maverick County, Texas",397,23,35724,14183,687,0.0338131334639298,11741,827,26695,313423,513,1.35431041019031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48339,"Montgomery County, Texas",4023,105,45300,182243,871,0.0272028345583512,147889,11179,55899,8266850,1075,0.806121541062372,,,,,,,,,,,,,2390,63,55912,133629,1075,0.127568721643982,18735,1236,51410,963147,989,1.10171428571429,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48347,"Nacogdoches County, Texas",472,30,32207,15202,619,0.0277174232192143,17029,1307,34614,589433,666,0.928637333487111,,,,,,,,,,,,,297,16,33725,10016,649,0.109231335049651,2719,194,39168,106514,753,0.846468550775563,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48349,"Navarro County, Texas",586,23,44635,26156,858,0.0450145951759103,13018,904,36785,478862,707,1.22576481573021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48355,"Nueces County, Texas",8515,184,55267,470602,1063,0.0632652757964812,134592,8087,46232,6222471,889,1.21143771508735,391,15,32905,12866,633,0.48875,800,63,29763,23796,572,1.23133630206189,7040,101,59249,417114,1139,0.251410613527605,28002,1114,42641,1194032,820,1.59860237973181,,,,,,,,,,,,,349,28,35115,12255,675,0.0796439981743496,4382,677,33387,146297,642,1.05653508244073
2017,f-48361,"Orange County, Texas",246,21,33588,8263,646,0.0137630077207116,17874,1317,54605,976004,1050,0.611836712388655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48367,"Parker County, Texas",434,31,29301,12717,563,0.0163010817307692,26624,2613,44367,1181201,853,0.65675221338115,,,,,,,,,,,,,177,20,36472,6455,701,0.0518909410729991,3411,253,42279,144197,813,0.856331149773426,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48375,"Potter County, Texas",2142,99,35100,75184,675,0.0337168852020337,63529,3856,42715,2713649,821,0.816658911121452,,,,,,,,,,,,,1279,51,35514,45422,683,0.103975286562068,12301,520,48836,600722,939,0.70490859649471,,,,,,,,,,,,,,,,,,,,,,,,
